id,title,slug,format,category,url,publishedOn,imageUrl,summary,sourceCsv
blog-post:rss:maximizing-crowdstrike-roi-is-seamless-with-immersive-ones-new-capability,Maximize CrowdStrike ROI with Immersive One Cyber Simulations,maximizing-crowdstrike-roi-is-seamless-with-immersive-ones-new-capability,blog-post,blog,https://www.immersivelabs.com/resources/blog/maximizing-crowdstrike-roi-is-seamless-with-immersive-ones-new-capability,2026-01-27T00:00:00.000Z,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69789a8dedfc30dfad573b6e_Header%20Image.png,"Learn how Immersive One’s new CrowdStrike Falcon® simulations help SOC teams close the readiness gap, reduce MTTR, and prove cyber resilience.",RSS: Blog (official)
blog-post:rss:the-cyber-readiness-outlook-2025-threat-reflections-and-2026-forecast,2026 Cyber Readiness: Moving from Compliance to Capability,the-cyber-readiness-outlook-2025-threat-reflections-and-2026-forecast,blog-post,blog,https://www.immersivelabs.com/resources/blog/the-cyber-readiness-outlook-2025-threat-reflections-and-2026-forecast,2026-01-27T00:00:00.000Z,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69787d5b0b5e5c18a0dd536d_Immersive%20-%20Blog%20Post%20-%202026%20Forecast%20Webinar%20Recap%20-%20Header%201920x1080.png,"Bridge the gap between perceived readiness and actual capability. Discover the 2026 cyber threat forecast, from quantum risks to AI prompt injection labs.",RSS: Blog (official)
blog-post:rss:from-check-box-training-to-continuous-readiness-how-one-immersive-customer-is-preparing-for-2026,From Check-Box Training to Continuous Cyber Readiness,from-check-box-training-to-continuous-readiness-how-one-immersive-customer-is-preparing-for-2026,blog-post,blog,https://www.immersivelabs.com/resources/blog/from-check-box-training-to-continuous-readiness-how-one-immersive-customer-is-preparing-for-2026,2026-01-22T00:00:00.000Z,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/697240ba97401e17e76ab0cd_Header.png,"Learn how Swisscom is preparing for 2026 by moving beyond passive training to continuous, measurable readiness.",RSS: Blog (official)
blog-post:rss:commanding-the-ai-accelerated-threat-landscape-introducing-secure-with-ai-on-immersive-one,Secure With AI: Command the AI-Accelerated Threat Landscape,commanding-the-ai-accelerated-threat-landscape-introducing-secure-with-ai-on-immersive-one,blog-post,blog,https://www.immersivelabs.com/resources/blog/commanding-the-ai-accelerated-threat-landscape-introducing-secure-with-ai-on-immersive-one,2026-01-21T00:00:00.000Z,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6970fe13c23e8d466d79e7ea_Secure%20with%20AI%20-%20Main%20blog%20-%20Header%20Image.png,Eliminate readiness lag-time with Secure With AI on Immersive One. Use AI-powered labs and high-fidelity crisis simulations to prove performance against real-world threats.,RSS: Blog (official)
blog-post:rss:2026-cyber-readiness-preparing-for-ai-attacks-and-the-quantum-threat,2026 Cyber Readiness: AI Attacks & Quantum Preparedness,2026-cyber-readiness-preparing-for-ai-attacks-and-the-quantum-threat,blog-post,blog,https://www.immersivelabs.com/resources/blog/2026-cyber-readiness-preparing-for-ai-attacks-and-the-quantum-threat,2026-01-08T00:00:00.000Z,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/695fdb5f4841512874ac579c_Landing%20Page%20-%201920x1080%20Header.png,"Are you ready for AI attacks and the Quantum threat? Move beyond the ""confidence trap"" and discover strategies to prove your 2026 cyber readiness.",RSS: Blog (official)
blog-post:rss:are-you-training-for-a-fight-thats-already-over,Training for Yesterday’s Battle: The 2025 Cyber Workforce Benchmark Report,are-you-training-for-a-fight-thats-already-over,blog-post,blog,https://www.immersivelabs.com/resources/blog/are-you-training-for-a-fight-thats-already-over,2025-12-17T00:00:00.000Z,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/69428337ba351880a34a1e4b_Landing%20Page%20-%201920x1080.webp,Stop practicing for yesterday’s threats. The 2025 Cyber Workforce Benchmark Report reveals a dangerous fixation on legacy threats over AI and post-exploitation risks.,RSS: Blog (official)
blog-post:rss:immersive-and-right-hand-forge-strategic-partnership-to-defeat-ai-powered-cyber-threats,Immersive & Right-Hand Partner to Defeat AI-Powered Cyber Threats,immersive-and-right-hand-forge-strategic-partnership-to-defeat-ai-powered-cyber-threats,blog-post,blog,https://www.immersivelabs.com/resources/blog/immersive-and-right-hand-forge-strategic-partnership-to-defeat-ai-powered-cyber-threats,2025-12-11T00:00:00.000Z,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/693aa8319a0ac03f18bc502b_Landing%20Page%20-%201920x1080%20Header.png,"Immersive and Right-Hand partner to transform Human Risk Management. Move beyond generic training to AI-driven, verifiable cyber resilience.",RSS: Blog (official)
blog-post:rss:move-past-blind-trust-in-ai-with-verifiable-proof-of-readiness-introducing-secure-ai-on-immersive-one,Secure AI Available on Immersive One: Verifiable Proof of AI Readiness,move-past-blind-trust-in-ai-with-verifiable-proof-of-readiness-introducing-secure-ai-on-immersive-one,blog-post,blog,https://www.immersivelabs.com/resources/blog/move-past-blind-trust-in-ai-with-verifiable-proof-of-readiness-introducing-secure-ai-on-immersive-one,2025-12-09T00:00:00.000Z,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6938538b74b1494e7fd8e811_Blog%20Header.png,"Move past blind trust and Shadow AI. Discover Immersive One’s Secure AI capability and get verifiable proof of readiness for AI governance, secure coding, and compliance.",RSS: Blog (official)
blog-post:rss:the-confidence-illusion-what-our-2025-benchmark-report-reveals-about-true-readiness,The Confidence-Capability Gap: 2025 Cyber Workforce Benchmark Report,the-confidence-illusion-what-our-2025-benchmark-report-reveals-about-true-readiness,blog-post,blog,https://www.immersivelabs.com/resources/blog/the-confidence-illusion-what-our-2025-benchmark-report-reveals-about-true-readiness,2025-12-04T00:00:00.000Z,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6931b85ebe7ec7928029da64_Landing%20Page%20-%201920x1080%20Header.png,Our 2025 Benchmark Report reveals a critical gap between cyber confidence and reality. Learn why tabletop exercises fail to prove true resilience and how to fix it.,RSS: Blog (official)
blog-post:rss:from-training-task-to-proven-cyber-readiness-how-immersive-ones-new-programs-capability-optimizes-for-business-outcomes,Programs: The GPS for Verifiable Cyber Readiness Outcomes,from-training-task-to-proven-cyber-readiness-how-immersive-ones-new-programs-capability-optimizes-for-business-outcomes,blog-post,blog,https://www.immersivelabs.com/resources/blog/from-training-task-to-proven-cyber-readiness-how-immersive-ones-new-programs-capability-optimizes-for-business-outcomes,2025-11-26T00:00:00.000Z,https://cdn.prod.website-files.com/678a13476d0a697e355dec29/6927036f4ff625b11998f236_LP.png,"Stop managing static training tasks. Immersive One Programs is the operational engine that delivers verifiable cyber readiness outcomes, proving team capability to the board and auditors.",RSS: Blog (official)
